Noun;Polarity;Emotion Interval
desatención;-2;
desbordamiento;-3;3
descanso;4;3
descaro;-2;
descomposición;-3;
desconchón;-2;
desconcierto;-3;5
desconfianza;-3;2
descontento;-1;1
descuadre;-1;
descuido;-1;
desdén;-4;
desdicha;-4;
desempleo;-1;
desencanto;-2;1
desencuentro;-2;
desengaño;-2;2
deserción;-3;
desesperación;-5;2
desesperanza;-2;2
desgana;-2;
desgaste;-2;
desgracia;-4;3
deshonra;-2;
desidia;-1;
desigualdad;-1;
desilusión;-3;2
desintegración;-1;
desmoronamiento;-4;2
desobediencia;-1;
desolación;-4;2
desorden;-2;
desperdicio;-1;
despersonalización;-1;
despido;-2;
desplome;-2;
despotismo;-4;4
desprecio;-2;4
despreocupación;1;
despropósito;-4;4
desquicia;-4;6
destacamento;-1;
destello;1;
destino;-1;
destreza;2;7
destrucción;-4;6
desventaja;-2;
desventura;-3;
desvergüenza;-4;4
desviación;-2;6
desvío;-1;
deterioro;-2;
determinación;4;7
devoción;4;4
diablo;-1;
diatriba;-3;
dicha;5;
dictadura;-4;6
dificultad;-2;
dignidad;2;
dilaciones;-1;
dilema;-1;
diligencia;1;
dimisión;-1;
diosa;2;
discordia;-1;
discrepancia;-1;
discriminación;-3;3
discusión;-1;
disfrute;3;1
disfunción;-2;
disgusto;-3;1
disolución;-1;
disparate;-4;6
displicencia;-2;
disposición;3;7
distinción;2;
distorsión;-2;
distracción;-1;
diversión;3;1
divinidad;3;
dogma;-2;
dolor;-2;7
dominio;4;3
don;2;
donativo;1;
droga;-3;6
dulzura;3;1
durabilidad;2;
dureza;1;
efectividad;3;2
eficacia;3;2
eficiencia;3;2
egoísmo;-2;
elaboración;1;
elegancia;2;3
eliminación;-2;
embargo;-2;
emergencia;-1;
eminencia;3;5
emoción;3;5
empatía;2;
enajenación;-2;
enamoramiento;4;
encanto;4;1
encarcelamiento;-1;
encarecimiento;2;
endoso;2;
enemigo;-1;
energía;1;
enfado;-2;1
enfermedad;-3;7
enfermo;-2;7
enfrentamiento;-2;
engaño;-3;2
engendro;-2;
engorro;-2;
engreimiento;-2;
enredo;-1;
enriquecimiento;2;
ensueño;4;5
entorpecimiento;-2;
entrepierna;-1;
entretenimiento;2;
entusiasmo;3;2
envidia;-1;
epidemia;-2;7
epíteto;-2;
erosión;-2;
error;-2;
escabechina;-3;3
escándalo;-3;1
escaramuza;-1;
escasez;-1;
escasez;-1;
esclavitud;-3;3
esclerosis;-3;7
escollo;-2;
escrúpulo;2;
escrutinio;-1;
esfuerzo;-2;
esmero;3;4
españistán;-3;1
espectáculo;-2;
esperanza;2;2
espiritualidad;1;
esplendor;3;5
espontaneidad;1;
estabilidad;1;
estafa;-2;2
estafador;-2;2
estatura;2;
estereotipo;-2;
esterilidad;-3;6
estigma;-3;
estilo;1;
estimulación;1;
estorbo;-2;
estrépito;-1;
estudio;1;
estupidez;-3;4
estupor;-4;5
ética;1;
etiqueta;1;
euforia;4;5
evasión;-1;
exageración;-2;
exasperación;-3;
excelencia;4;2
excentricidad;-1;
exceso;-2;4
exclusión;-1;
éxito;3;2
experiencia;3;3
experimento;-3;1
experto;2;3
explotación;-3;3
expulsión;-3;
éxtasis;4;5
exterminio;-3;6
extrañeza;-2;5
fabricación;-3;
facilidad;3;
faena;-2;
falacia;-1;
fallecimiento;-3;7
falsedad;-1;3
falso;-3;3
falsificación;-4;2
falta;-2;
familia;2;
familiaridad;1;
fanático;2;
fanfarronería;-1;
fantasía;1;
farmafia;-5;1
farol;-1;
farsa;-2;
fascinación;5;5
fascista;-5;6
fastidio;-1;
fatalidad;-2;
fatiga;-1;
favorito;3;
fe;2;
felicidad;5;1
ferocidad;-1;
fertilidad;-5;6
fervor;2;
feto;-4;6
fiabilidad;3;
fiasco;-4;2
fidelidad;3;3
fijación;-2;
fingimiento;-2;
firmeza;1;
flaqueza;-2;
fluidez;2;
fobia;-4;3
formalidad;-1;
fortaleza;3;7
fortuna;4;
fracaso;-3;2
franquismo;-2;
fraternidad;1;
fraude;-4;2
frenesí;-1;
frescura;3;
frialdad;-1;
frustración;-4;2
fuerza;3;
fuga;-1;
furia;-5;1
gacetillero;-3;
galantería;2;
galardón;2;
gamberro;-2;
garantía;2;
gasto;-2;
gema;2;
gemido;-2;
generalización;-1;
generosidad;2;4
genio;4;5
genocidio;-5;6
gentecilla;-1;
gentuzos;-2;
germen;-1;
gilipollas;-5;4
gilipollez;-4;4
glamour;2;5
gloria;3;4
goce;3;1
golfo;-1;
golpe;2;
gordinflón;-1;
gozada;5;1
gozo;4;1
gracia;3;
grandeza;4;5
granuja;-1;
gratitud;2;
griterío;-2;
grito;-2;
guardián;1;
guerra;-2;
gueto;-2;
gustazo;5;1
gusto;3;1
halago;4;3
hambre;-1;
hambruna;-2;
hastío;-4;1
hazaña;4;4
hechizo;1;
herejía;-2;
herida;-2;
hermosura;4;
héroe;3;5
heroína;2;5
heroismo;3;5
higiene;3;6
hijodeputa;-5;1
hijoputa;-5;1
hipocresía;-4;4
hipócrita;-3;4
histeria;-2;
homenaje;1;
honor;4;
honra;3;
honradez;3;3
horror;-4;7
hortera;-3;
hospitalización;-2;2
hostilidad;-2;
huérfano;-1;
hueva;-3;
humanidad;3;7
humano;3;7
humildad;1;
humor;2;
ibuprofano;-5;1
ideal;2;
idealismo;3;
identificación;2;
idiota;-3;4
ignorancia;-3;4
igualdad;2;
ilegalidad;-1;
ilusión;3;2
imagen;-1;
imaginación;2;
imnovación;3;2
impaciencia;-2;
impacto;-2;
imparcialidad;2;
impasibilidad;-2;
impedimento;-2;
ímpetu;1;
importancia;2;
imposibilidad;-4;2
impostor;-3;4
impotencia;-2;
imprecisión;-1;
impresión;1;
imprudencia;-3;5
impulso;-2;
impunidad;-2;
impureza;-2;
imsomnio;-2;
in˙til;-3;
inanición;-3;
incapacidad;-3;4
incertidumbre;-1;
incesto;-5;
incógnita;-2;
incomodidad;-1;
incomodo;-1;
incompatibilidad;-2;
incompetencia;-3;4
incompletitud;-2;
incongruencia;-2;
inconveniente;-1;
incorrección;-1;
incredulidad;-1;
independencia;1;
indiferencia;-1;
indignación;-4;1
indio;-3;6
ineficacia;-1;2
inestabilidad;-1;
inexactitud;-2;
inexperiencia;-2;2
infalibilidad;-1;
infección;-3;2
infelicidad;-2;
inferioridad;-2;
infertilidad;-3;6
infestación;-3;
infidelidad;-3;
infierno;-5;7
infiltración;-1;
inflación;-1;
infortunio;-3;
infracción;-1;
ingenio;3;5
inhibición;-1;
iniciativa;2;
inmoralidad;-3;4
inmovilidad;-2;
inmunidad;5;2
inmunización;5;2
inmutabilidad;1;
innovación;3;2
inocencia;2;
inquietud;-1;
inquisición;-4;1
inquisidor;-3;1
inri;-4;
insatisfacción;-2;
inseguridad;-2;
insensatez;-4;3
insolencia;-2;
inspiración;2;
insulto;-2;4
intelecto;1;
intelectual;2;
inteligencia;3;3
intensidad;2;
interés;1;
interrupción;-1;
intimidad;1;
intolerancia;-3;4
intoxicación;-3;7
intriga;2;
intromisión;-1;
inutilidad;-2;
invento;-3;6
investigación;2;2
ira;-4;1
ironía;-1;
irracionalidad;-4;6
irregularidad;-2;
irresponsabilidad;-2;
irritación;-1;
ivermectina;-4;7
jactancia;-2;
jerga;-1;
jilipollas;-5;4
juicio;5;6
justicia;2;6
justificación;-1;
laberinto;-2;
ladrón;-2;
lamento;-1;
lapso;-1;
larva;-3;
lasitud;-1;
lástima;-1;
lejía;-4;6
lentitud;-2;
leucemia;-3;7
libertad;2;
líder;3;
liderazgo;4;3
limitación;-1;
limpieza;1;
lío;-1;
liquidación;-1;
llanto;-4;7
llorera;-4;7
lloro;-4;7
lluvia;-1;
loco;-2;
locura;-5;6
lodo;-3;
lógica;3;
lucha;-2;
lujazo;4;
luminosidad;3;
lustre;1;
madurez;3;3
maestría;4;3
mafioso;-3;4
magia;1;
magnetismo;3;
magnificencia;4;
majestuosidad;3;5
mal;-2;
maldad;-2;
maldición;-4;3
malestar;-1;
malhechor;-4;3
malicia;-3;3
maltrato;-4;3
malvado;-4;3
mamón;-3;
mancha;-1;
manipulación;-3;5
manipulador;-3;5
mantra;-1;
maravilla;3;5
masacre;-5;7
masoquismo;-2;
matiz;1;
matón;-1;
medicina;5;2
mediocridad;-3;5
meditación;1;
mejilla;-2;
mejora;2;
melancolía;-3;
melodrama;-3;
memez;-4;
mendigo;-2;
mendrugo;-1;
mentira;-3;4
mentiroso;-2;4
mercenario;-4;3
mercurio;-2;7
merecedor;2;
mérito;3;4
metedura;-2;
metilmercurio;-2;
microchip;-5;6
miedo;-2;7
miedoso;-2;7
mierda;-5;4
milagro;4;5
mimo;3;
miramiento;2;
misterio;-1;
moderación;1;
modernidad;2;
modestia;1;
mojón;3;
molestia;-1;
monotonía;-3;
monstruo;-4;7
monstruosidad;-5;7
moral;1;
moraleja;1;
moralidad;2;
moralina;-1;
morbosidad;-3;4
morboso;-4;4
mordaza;1;
mortalidad;-3;7
motivación;1;
mueca;-2;
muerte;-4;7
mugre;-3;
multitud;1;
musaraña;-1;
mutación;-3;2
mutante;-2;
náufrago;-2;
náuseas;-2;
neblina;-1;
necedad;-2;
necesidad;-1;
negación;-2;6
negativa;-1;
negligencia;-2;4
negociación;2;
nervio;-3;3
nerviosismo;-3;3
nidada;-1;
nobleza;3;
normalidad;2;
notoriedad;2;
novato;-1;
novedad;1;
novela;2;
novio;2;
obediencia;1;
objeción;-1;
obra;5;
obsesión;-4;6
obstáculo;-3;1
obstrucción;-2;1
ocio;2;
ociosidad;-1;
odio;-4;6
ofuscamiento;-3;1
ojete;-3;
omisión;-1;
oportunidad;2;
oposición;-2;
opresión;-2;
optimismo;4;7
opulencia;-1;
ordinariez;-3;4
orgullo;5;4
originalidad;3;5
oscuridad;-1;
ovación;3;
paciencia;2;
pacto;2;
padecimiento;-2;
palabrería;-1;
pánico;-5;7
parada;-1;
paraíso;5;1
paralización;-3;
paranoia;-4;6
parásito;-3;
paria;-1;
parodia;-2;
parrafada;-2;
parsimonia;2;
particularidad;-1;
pasión;4;7
patera;-3;
patriota;1;
payaso;-4;1
pavor;-3;7
paz;1;
pecado;-3;4
pecador;-3;4
peculiaridad;-2;
pederasta;-4;4
pedrusco;-2;
pega;-1;
pelea;-3;1
peliculilla;-1;
peligro;-2;7
pelma;-3;
pelusa;-2;
pena;-2;1
peñazo;5;
pequeñez;-2;
percance;-2;
perdedor;-1;
pérdida;-3;2
perdón;-1;
pereza;-2;
perfección;5;3
perfeccionismo;1;
perfeccionista;2;
pericia;4;2
peripecia;-2;
periplo;-1;
perplejidad;-2;
persecución;-3;3
perseverancia;2;
personalización;2;
perspicacia;3;
perversiones;-4;4
pervertir;-2;
pesadez;-4;
pesadilla;-5;6
pesadumbre;-4;2
pesar;-2;2
pesimismo;-1;2
pillo;-1;
pionero;2;
pirateo;-3;
piratería;-3;6
placer;5;1
plaga;-2;
plandemia;-5;6
plausibilidad;1;
plenitud;4;
plus;2;
población;1;
pobreza;-4;2
poder;3;
polémica;-2;
pompa;3;
popularidad;4;5
pornografía;-3;
porquería;-5;4
portabilidad;2;
posibilidad;2;
posteridad;1;
potencia;2;
potencial;4;5
precaución;2;6
precedente;1;
preciosidad;4;5
precipicio;-3;
precisión;4;2
precuela;-1;
predador;-1;
predicibilidad;-1;
predictivo;-2;
predominio;2;
prejuicio;-3;5
premio;1;
preocupación;-3;2
preservación;2;
presión;-3;3
prestigio;3;4
pretensión;-2;
prevención;4;2
previsión;2;
principiante;-1;
prioridad;2;
privilegio;3;1
problema;-2;
proceso;-2;
prodigalidad;-2;
prodigio;4;5
productividad;1;
proezas;3;2
profesional;3;4
profesionalidad;3;4
profundidad;3;
progresividad;3;
progreso;4;3
prohibición;-1;1
promesa;2;
prominencia;2;
promoción;3;
propaganda;-3;4
propulsión;2;
prosperidad;2;
prostitución;-3;4
prostituta;-3;4
protagonista;1;
protección;4;2
protesta;-2;1
provocación;-2;
provocador;-4;6
proximidad;1;
prudencia;2;6
pseudo-ciencia;-4;6
pseudo-científico;-4;6
psicópata;-3;6
psicosis;-4;6
pudor;1;
punto;-2;
puñeta;-4;
pureza;2;
purificación;1;
puta;-4;4
putrefacción;-2;
quebrantamiento;-1;
queja;-3;
quisquillosismo;-3;
rabieta;-3;1
racionamiento;-2;
racismo;-4;3
rapidez;2;
rareza;-1;
rasgo;2;
rasguño;-1;
rata;-3;6
razón;2;
realización;3;
reanimación;1;
rebaño;-5;6
rebelión;-3;
recelo;-2;
recesión;-2;
rechazo;-4;1
reclamación;-4;1
recomendación;3;2
recompensa;4;1
reconciliación;3;4
reconocimiento;2;5
recreación;2;
rectitud;2;
recuerdo;1;
recuperación;2;
reducción;-1;
reestructuración;-2;
refinamiento;2;
reflexión;1;
refuerzo;2;
refugio;1;
regalo;3;
regañadientes;-3;5
regocijo;5;1
regresión;-3;
regulable;2;
relevancia;2;
remedio;1;
remordimiento;-3;3
renacimiento;3;
rencilla;-2;
rencor;-3;3
renombre;3;2
renovación;2;
renuncia;-2;
reparación;-1;
repercusión;3;3
repetición;-1;
reprensión;-2;
represión;-4;5
reprobación;-3;2
reproche;-3;2
reputación;4;3
resentimiento;-2;
reserva;-1;
resistencia;-2;
resolución;2;
respaldo;2;
respeto;2;4
respiro;1;
resplandor;4;
responsabilidad;4;2
restauración;2;
restricción;-2;1
reticencia;-3;7
retoque;1;
retraso;-2;
retro;-2;
reunión;2;
revelación;2;
reverencia;3;
revolución;1;
rezagado;-1;
riesgo;-1;
riña;-1;
riqueza;3;
risa;2;
robo;-3;1
robot;-5;6
robustez;4;2
rollazo;-5;4
rollo;-4;4
ronquido;-2;
rufián;-2;
ruiditos;-1;
ruido;-2;
ruina;-4;6
rumor;-2;
ruptura;-3;2
rutina;-1;
sabiduría;4;3
sabio;2;
sabotaje;-4;6
saciedad;-1;
sacrificio;2;4
sacudida;-2;
saga;-1;
sagacidad;3;
salud;3;3
salutación;1;
salvación;3;3
salvador;3;3
sanción;-1;
sandez;-4;4
sanitarismo;-4;1
santo;3;
santuario;2;
sarcasmo;-3;
satisfacción;4;1
saturación;-3;1
secta;-4;6
secuela;-3;7
secundón;-2;
sed;-1;
seducción;4;5
segregación;-2;
seguridad;4;2
sencillez;3;4
sensación;2;
sensibilidad;3;4
sensiblería;-1;
sentido;3;6
sentimentalismo;-1;
señor;2;
separación;-2;
serenidad;3;
seriedad;3;3
servicio;-2;
severidad;-3;3
sibarita;3;
sida;-5;7
silencio;-2;
simpatía;4;1
simpleza;-2;
simplicidad;1;
sinceridad;3;3
sinrazón;-4;1
síntoma;-1;7
sinvergüenza;-4;4
sinvivir;-4;3
sistema;-1;
soberbia;-4;4
sobras;-2;
sobrecarga;2;
sobrecogimiento;3;7
sobredosis;-4;7
sobriedad;3;3
socio;1;
soledad;-3;2
solidaridad;3;4
solidez;4;3
soltura;3;
solución;3;3
solvencia;4;2
sombra;-1;
sonrisa;4;1
sonrojo;-3;4
soñador;2;
sorpresa;3;5
sosaina;-2;
sospecha;-2;
suavidad;3;
subida;2;
subito;-3;7
subversión;-2;
suceso;-2;
suciedad;-3;1
sueño;1;
suerte;1;
sufridor;-3;3
sufrimiento;-4;3
suicidio;-5;3
sujeción;-2;
sumisión;-2;
superación;1;
superficialidad;-3;4
superhéroe;4;
superioridad;2;
superstición;-3;7
supervivencia;2;
suposición;-1;
supresión;-3;1
suspensión;-3;2
suspenso;-3;2
suspiro;2;
sustancia;1;
susto;-5;5
sutileza;2;
tablas;-1;
tacto;4;
talentazo;5;5
talento;4;5
talla;3;4
tapaboca;-4;6
tañido;-3;
tapujo;-2;
tarea;-1;
tarugo;-4;4
tedio;-4;4
tema;-1;
temazo;3;
temblor;-2;
temor;-3;
tempestad;-1;
tenacidad;2;
tensión;-2;
tentación;-2;
ternura;4;1
terremoto;-4;7
terror;-5;7
terrorismo;-4;6
terrorista;-4;6
tesoro;3;
tiburón;-1;
timerosal;-3;2
timidez;-2;
timo;-4;2
timo;-3;4
tiniebla;-1;
tiranía;-3;6
tiroteo;-4;6
tocho;-3;3
tolerancia;2;
tongo;-4;5
tontería;-3;4
tópico;-2;
tormento;-4;3
torpeza;-3;4
torrente;-1;
tortazo;1;
tortura;-5;3
tosquedad;-2;
tostón;-4;3
tóxico;-3;2
toxina;-3;2
tradición;2;
tragedia;-3;7
traición;-4;2
traidor;-4;2
trampa;-3;4
tramposo;-2;4
trance;-2;
traficante;-4;4
tranquilidad;5;3
transformación;1;
transgénico;-5;7
transgenesis;-5;7
transparencia;3;2
trapicheo;-2;
trapicheo;-2;
trastada;-3;
traumatismo;-2;7
travesura;-1;
tregua;-2;
tributo;2;
trifulca;-2;1
tristeza;-2;1
triunfo;4;7
trofeo;1;
tropiezo;-2;2
truco;-1;
tumor;-2;7
ultimátum;-1;
ultraje;-3;
unidad;2;
unión;1;
unísono;1;
universalidad;2;
urgencia;-1;
usabilidad;1;
uso;-1;
usurero;-4;4
usurpación;-2;
usurpador;-3;4
utilidad;1;
utilización;3;
vacilación;-2;
vacío;-1;
vagabundo;-1;
vaguedad;-2;
valentía;4;7
validación;3;3
validez;1;
valor;4;7
valoración;3;
vampiro;-3;6
vanidad;-2;
variedad;2;
vehemencia;-1;
vencedor;3;4
veneno;-4;6
venganza;-4;1
ventaja;3;3
ventilación;1;
veracidad;3;2
verdad;1;
vergüenza;-5;4
versatilidad;2;
vertedero;-2;
viabilidad;1;
víbora;-2;
vicio;-3;4
víctima;-4;3
vida;1;1
violación;-5;7
violencia;-5;7
virguería;4;5
virtud;3;5
virus;-3;7
visionario;3;
vitalidad;2;1
vulgaridad;-4;4
xenofobia;-4;3
zombi;-1;
zueco;-1;
