Verb;Polarity;Role;Emotion Interval
liberar;2;;
limpiar;1;;
liquidar;-1;;
llevar;0;;6
llorar;-3;;1
lloriquear;-1;;
lograr;2;;
luchar;1;;
madurar;2;;
magullar;-1;;
maldecir;-3;;4
malgastar;-2;;
malograr;-2;;
manchar;-5;;
manifestar;2;INTENSIFICACION;
manipular;-1;;
maravillarse;3;;5
marchitar;-3;;
marchitarse;-2;;
marear;-2;;
matar;-4;;7
matizar;-2;DEBILITACION;
mear;-2;;
mecer;4;;
mediar;1;;
medrar;3;;
mejorar;3;;
menguar;-1;;
menospreciar;-2;;
mentir;-2;;
merecer;2;;
mermar;-2;;1
mimar;-1;;
minar;-2;;
mitigar;1;;
moderar;1;;
modernizar;2;;
molestar;-2;DEBILITACION;
morder;-3;;
morir;-4;;7
mortificar;-4;DEBILITACION;
motivar;-2;DEBILITACION;
murmurar;-1;;
mutilar;-3;;3
naufragar;-2;;
necesitar;4;;6
negar;-3;DEBILITACION;
neutralizar;-1;;
nutrir;2;;
obedecer;-1;;1
objetar;-2;DEBILITACION;
obligar;-3;DEBILITACION;
obsequiar;3;;
obsersionar;-2;DEBILITACION;
obsesionar;-2;;
obstar;-1;;
obstruir;-2;;
ocultar;-1;;
ocupar;-3;;
odiar;-5;;1
ofender;-4;;4
ofrecer;1;;
olvidar;0;;6
omitir;-3;;
oponer;-2;DEBILITACION;
oprimir;-3;;3
optimizar;1;;
ordenar;-2;DEBILITACION;
organizar;1;;
ostentar;-1;;
padecer;-3;;1
palidecer;-2;;
paralizar;-2;;
parlotear;-1;;
parodiar;-2;;
patrocinar;-2;;
pavonearse;-1;;
pecar;-3;;
pegar;-4;;
pelear;-3;;
peligrar;-3;;3
perder;-2;DEBILITACION;
perdonar;2;;
perdurar;4;;
perecer;-1;;
perfeccionar;4;;2
perjudicar;-3;;4
permitir;0;;5
perseguir;-1;;
perseverar;1;;
persuadir;-2;DEBILITACION;
pervertir;-3;;4
picar;-1;;
pinchar;-1;;
pisotear;-4;;1
plagiar;-3;;
poder;-2;DEBILITACION;
poner;0;;7
postrarse;-1;;
pregonar;2;INTENSIFICACION;
premiar;3;;
preocupar;-2;DEBILITACION;
preocuparse;-2;DEBILITACION;
preparar;-1;;
presentar;0;;2
presionar;-2;;
presumir;3;;
prevalecer;1;;
prevenir;5;;2
probar;2;;7
procesar;-2;;
proclamar;3;INTENSIFICACION;
producir;0;;3
progresar;2;;
prohibir;-3;DEBILITACION;
promover;0;;2
proponer;1;;
propulsar;2;;
prosperar;2;;
proteger;5;;3
protestar;-2;DEBILITACION;
provocar;-2;;1
pudrir;-3;;6
pudrirse;-2;;6
puntualizar;2;INTENSIFICACION;
purificar;2;;
quejar;-2;DEBILITACION;
quejarse;-2;DEBILITACION;
quemar;-2;;
querer;2;;
quitar;-1;;
racionalizar;-1;;
rasgar;-1;;
ratificar;3;INTENSIFICACION;
rastrear;-3;;1;
rayar;-1;;
reactivar;1;;
reagrupar;2;;
realzar;2;;
reanimar;3;;7
rebajar;-3;;5
rebuscar;-1;;
recaer;-2;;
recalcar;2;INTENSIFICACION;
recargar;-2;;
rechazar;-2;;1
reclamar;1;;
reclinarse;1;;
recolectar;2;;
recomendar;2;INTENSIFICACION;
recompensar;2;;
reconciliar;2;;
recriminar;-3;;4
rectificar;1;;
reducir;-2;DEBILITACION;
refinar;2;;
reforzar;2;;1
refutar;-1;;
regurgitar;-3;;
rehabilitar;2;;
rehuir;-2;;
reÌrse;2;;
reiterar;3;INTENSIFICACION;
relajar;3;;
remplazar;0;;2
renovar;1;;
renunciar;-1;;
reñir;-2;;
reparar;2;;
replicar;-2;DEBILITACION;
reposar;1;;
reprender;-1;;
reprimir;-1;;
reprochar;-2;DEBILITACION;
repugnar;-3;DEBILITACION;
rescatar;1;;
resolver;1;;
resonar;3;;
respetar;2;;4
resplandecer;1;;
restaurar;3;;
restituir;1;;
restringir;-2;;
resurgir;1;;
retirarse;-1;;
retorcerse;-1;;
retozar;1;;
retrasar;-2;;
retroceder;-1;;
reunir;2;;
reventar;-3;;1
reverenciar;5;;5
revolver;-2;;
ridiculizar;-4;;4
robar;-4;;
rogar;-2;DEBILITACION;
romper;-2;;
roncar;-2;;
ronronear;1;;
rozar;-2;;
saborear;3;;
sabotear;-4;;5
sacrificar;-4;;4
saludar;1;;
salvaguardar;2;;
salvar;5;;4
santificar;3;;
sangrar;-4;;1
saquear;-2;;1
satisfacer;1;;
sazonar;1;;
secuestrar;-3;;
sedar;0;;3
seguir;0;;6
sentir;-3;DEBILITACION;
señalar;1;;
simplificar;1;;
simular;-1;;
sobornar;-4;;4;
sobreactuar;-2;;
sobrecargar;-4;;7
sobresalir;4;;4
sobresaltar;-2;;
sollozar;-1;;
soltar;-2;;
solucionar;3;;2
solventar;3;;2
someter;-1;;
sonreÌr;1;;
soportar;-1;;
sorprender;-2;DEBILITACION;
sostener;1;;
subsanar;3;;3
subvertir;-3;;
sucumbir;-2;;
sufrir;-3;;2
sugerir;-2;DEBILITACION;
suicidar;-4;;
sumergir;2;;
superar;2;;2
suspender;-1;;
suspender;-2;;
tardar;-1;;
temblar;-3;;
temer;-4;DEBILITACION;
tensar;-2;;
tirar;-3;;
tolerar;2;;
torcer;-1;;
torturar;-5;;3
traicionar;-4;;4
transgredir;-1;;
trastocar;-1;;
trastornar;-1;;
traumatizar;-3;;4
triunfar;4;;7
trivializar;-2;;
tropezar;-1;;
ultrajar;-4;;
urgir;2;INTENSIFICACION;
usar;0;;7
usurpar;-2;;
utilizar;0;;7
vaciar;-2;;
vacilar;-2;;
vacunar;0;;6
vapulear;-2;;
vencer;3;;4
venerar;2;;
violar;-4;;4
volcar;-3;;
volver;-2;;
vomitar;-1;;5
vulgarizar;-2;;
yacer;-2;;
zamparse;-3;;
