Adverb;Polarity;Role
paralelamente;1;
parcialmente;-2;DEBILITACION
particularmente;-2;DEBILITACION
pasivamente;-2;
pasmosamente;-2;
patéticamente;-5;
peligrosamente;-3;DEBILITACION
penosamente;-4;
peor;-2;
perdidamente;2;
perezosamente;-2;
perfectamente;5;
periódicamente;1;
personalmente;1;
persuasivamente;1;
pertinente;1;
pesadamente;-1;
pintoresco;4;
platónicamente;4;
plausiblemente;1;
plenamente;4;
poco;-2;DEBILITACION
poderosamente;4;
políticamente;-1;
poquisimo;-2;
posiblemente;2;INTENSIFICACION
positivamente;3;
prácticamente;2;INTENSIFICACION
preciosamente;5;
precipitadamente;-2;
precisamente;4;
precozmente;3;
preferiblemente;1;
presumiblemente;1;
presuntamente;-1;
pretendidamente;1;
previsiblemente;-1;
primorosamente;5;
principalmente;1;
probablemente;2;INTENSIFICACION
profesionalmente;4;INTENSIFICACION
profundamente;3;
progresivamente;2;
prominente;1;
prominentemente;1;
pronto;2;
propiamente;3;
proporcionadamente;1;
prototípicamente;2;
provechosamente;1;
puramente;1;
quienesquiera;-2;DEBILITACION
quienquiera;-2;DEBILITACION
rabiosamente;-5;
radiantemente;5;
radicalmente;2;
rápidamente;4;
rápido;2;
raramente;-2;DEBILITACION
razonablemente;1;
realmente;3;INTENSIFICACION
recién;3;
referente;3;
refrescantemente;5;
regularmente;2;
relajadamente;4;
relativamente;1;
religiosamente;-1;
reluciente;2;
relucientemente;4;
remotamente;-1;
repentinamente;-1;
respetuosamente;1;
resueltamente;2;
reticentemente;-3;
ridículamente;-2;
rotundamente;3;
rudamente;3;
ruidosamente;-2;
sabiamente;3;
salvajemente;-5;
saludable;3;1
santo;3;
satisfactoriamente;1;
secamente;1;
secretamente;-1;
seductoramente;1;
seguramente;3;INTENSIFICACION
seguro;3;INTENSIFICACION
sencillamente;2;
sensatamente;3;
sensiblemente;4;
sentimentalmente;3;
serenamente;2;
seriamente;3;
sexualmente;2;
sí;4;INTENSIFICACION
siempre;5;INTENSIFICACION
significativamente;1;
silenciosamente;1;
simplemente;1;
simplísticamente;-1;
simultáneamente;2;
sinceramente;4;INTENSIFICACION
siniestramente;-3;
sistemáticamente;4;
soberbiamente;4;
sobradamente;3;INTENSIFICACION
sobriamente;2;
socialmente;2;
solamente;-2;DEBILITACION
sólamente;-1;
solemnemente;1;
sólidamente;1;
sólo;-2;DEBILITACION
sombríamente;-2;
someramente;-2;
sonoramente;1;
sorprendentemente;1;
sospechosamente;-4;
suavemente;3;
suficiente;2;
suficientemente;1;
sumamente;4;
superficialmente;-1;
superfluamente;-1;
supuestamente;-2;
sustancialmente;3;
sutilmente;2;
también;3;INTENSIFICACION
tan;2;INTENSIFICACION
tanto;-2;DEBILITACION
tarde;-1;
teatralmente;-2;
técnicamente;1;
tecnológicamente;2;
temblorosamente;-2;
temprano;1;
terriblemente;-5;
terroríficamente;-5;
tibiamente;-2;
tímidamente;-2;
todo;5;INTENSIFICACION
tontamente;-4;
torpemente;-2;
totalmente;1;
tozudamente;-4;
tradicionalmente;1;
trágicamente;-3;
tranquilamente;2;
tranquilo;2;
tremendamente;-3;
tristemente;-4;
triunfantemente;3;
ultimamente;1;
últimamente;1;
únicamente;-2;DEBILITACION
uniformemente;1;
universalmente;1;
vagamente;-1;
valerosamente;3;
valientemente;3;INTENSIFICACION
verdaderamente;3;INTENSIFICACION
vergonzosamente;-3;
vertiginosamente;1;
violentamente;-2;
visiblemente;1;
vistosamente;2;
vívidamente;3;
voluntariamente;3;
zafiamente;-2;
